Category,Objects,,,,,,,,,,,,,,,,,,,,,,
spoon,cutlery-spoon_1_new,cutlery-spoon_1,cutlery-spoon_2_new,cutlery-spoon_2,cutlery-spoon_3_new,cutlery-spoon_4_new,cutlery-spoon_5_new,cutlery-spoon_6_new,,,,,,,,,,,,,,,
fork,cutlery-fork_1_new,cutlery-fork_1,cutlery-fork_2_new,cutlery-fork_3_new,,,,,,,,,,,,,,,,,,,
knife,cutlery-knife_1_new,cutlery-knife_1,cutlery-knife_2_new,cutlery-knife_2,cutlery-knife_3_new,,,,,,,,,,,,,,,,,,
box,box-antikalk,box-barilla,box-bbq,box-bisolvon_sirup,box-colgate,box-corny,box-crunchy_muesli,box-ebly,box-egar_omega_3,box-garmin,box-gift,bix-iglo,box-kleenex,box-koala,box-leibniz_choco,box-lieqi,box-mc_cafe,box-principe,box-proschmelz,box-special_k,box-sultana_yo_fruit_render,box-toffifee,box-wasabi
cup,cup-green_actys,cup-green_handle,cup-grey_handle,cup-mc_cafe,cup-new_york_big,cup-new_york,cup-plastic_green_flowers,cup-red_heart,cup-red,cup-stanford,cup-teal_pattern_ikea,cup-white_coffee_round_handle,cup-white_hogermann,cup-white_whisker,cup-yellow_handle,cup-yellow_white_border,,,,,,,
remote,remote-aircon_chunghop,remote-black,remote-comfee,remote-factory_svc,remote-grey,remote-heitech,remote-infini_fun,remote-japanese,remote-jaxster_d1170,remote-jaxster,remote-led_1,remote-led_2,remote-nvtc,remote-seki_care,remote-seki_medium,remote-silver,remote-thin_silver,remote-toy,remote-tv_white_quelle,,,,
shampoo,tube-shampoo_yellow,,,,,,,,,,,,,,,,,,,,,,
toothpaste,tube-toothpaste_signal_kids_bio,,,,,,,,,,,,,,,,,,,,,,
can,can-beer_delta,can-cheakpeas,can-coke_small,can-concentrated_tall,can-concentrated_tiny,can-corned_beef,can-corn_small,can-corn,can-fanta,can-fricadelles,can-hoegaarden,can-kidney_beans,can-large_tuna,can-meatball,can-monster_blue,can-monster,can-olive_anchois,can-redbull,can-sheba_cat,can-small_tuna,can-spam,can-target_beef,can-tuna_salad
bottle,bottle-85_alcool,bottle-alcool_hands,bottle-avene_skincare,bottle-baby_cleansing_water,bottle-cleansing_lotion_small,bottle-deodorant_spray,bottle-dettol_washing_machine,bottle-eres_inox,bottle-eres_soap,bottle-evian_frozen,bottle-evian_red,bottle-hg_meubeline,bottle-inox_cleaner,bottle-mouthwash_meridol,bottle-nivea,bottle-sanitizer_small_white,bottle-shampoo_doux,bottle-sloth,bottle-soupline,bottle-today,bottle-v8_small,,
glass,glass-cocktail,glass-new_1,glass-new_2,glass-new_3,glass-new_4,glass-new_5,glass-new_6,glass-new_7,glass-new_8,glass-new_9,glass-new_10,glass-new_11,glass-new_12,glass-new_13,glass-small,glass-small_3,glass-small_4,,,,,,
shoe,shoe-aqua_cyan_right,shoe-asifn_yellow_right,shoe-blue_75_right,shoe-cat_grey_sandal_right,shoe-crocs_pink_sandal_right,shoe-crocs_white_cyan_right,shoe-crocs_yellow_sandal_right,shoe-fashy_white_right,shoe-frog_right,shoe-green_viva_sandal_right,shoe-hummel_green_sandal_right,shoe-magenta_holes_right,shoe-pink_black_sandal_right,shoe-pink_tiny_crocs_right,shoe-sky_blue_250_right,shoe-sky_blue_holes_right,shoe-skyblue_leda_right,shoe-sky_blue_striped_right,shoe-votte_sandale,shoe-white_black_buckles,shoe-white_viva_sandal_right,,
teapot,teapot-ambition_brand,teapot-big_white_floral,teapot-blue_floral,teapot-brown_chinese,teapot-brown_small,teapot-green_grass,teapot-new_chinese,teapot-pale_pink,teapot-white_black_line,teapot-white_blue_cone_top,teapot-white_floral,teapot-white_malacasa,teapot-white_rectangle_sprout,teapot-white_rectangle,teapot-white_royal_norfolk,teapot-white_small,teapot-white_spherical,teapot-white_was_brand,teapot-wooden_color,,,,
tube,tube-baby_nivea_comfort,tube-baby_nivea_spf,tube-bb_cream,tube-cleanser_white,tube-creme_yellow,tube-hansaplast_gel,tube-kiwi,tube-mdf_filler,tube-perfax,tube-shoe_polish,tube-signal_pokemon,tube-signal,tube-skincare_hydralist,tube-skincare_provencale,tube-wasabi,tube-wipp,,,,,,,
